id,contact_id,location_id,organization_id,service_id,country_prefix,department,extension,number,number_type,vanity_number,phone_hours
1,,1,,,,,,650 780-7525,voice,"M-F,8am-5pm",
2,,1,,,,,,650 701-0856,fax,"M-Th, noon-4pm",
3,,2,,,,,4385,650 403-4300,voice,"M-F,8am-5pm",
4,,2,,,,,,650 403-4302,fax,"M-Th, noon-4pm",
5,,3,,,,English,,650 403-4300,voice,"M-F,8am-5pm",
6,,3,,,,,,650 403-4303,fax,"M-Th, noon-4pm",
7,,4,,,,,4500,650 403-4300,voice,"M-F,8am-5pm",
8,,4,,,,,,650 403-4303,fax,"M-Th, noon-4pm",
9,,5,,,,,4100,650 403-4300,voice,"M-F,8am-5pm",
10,,5,,,,,,650 403-4303,fax,"M-Th, noon-4pm",
11,,6,,,,,,650 326-2025,voice,"M-F,8am-5pm",
12,,6,,,,,,650 326-9547,fax,"M-Th, noon-4pm",
13,,7,,,,,,650 322-0126,voice,"M-F,8am-5pm",
14,,7,,,,,,650 322-4067,fax,"M-Th, noon-4pm",
15,,8,,,,,,650 323-2022,voice,"M-F,8am-5pm",
16,,8,,,,,,650 326-9547,fax,"M-Th, noon-4pm",
17,,9,,,,,,650 780-7261,voice,"M-F,8am-5pm",
18,,9,,,,,,650 569-3371,fax,"M-Th, noon-4pm",
19,,10,,,,Circulation,,650 780-7018,voice,"M-F,8am-5pm",
20,,10,,,,,,650 780-7069,fax,"M-Th, noon-4pm",
21,,11,,,,,,650 780-7010,voice,"M-F,8am-5pm",
23,,12,,,,,,650 780-7077,voice,"M-Th, noon-4pm",
24,,12,,,,,,650 780-7004,fax,"M-F,8am-5pm",
25,,13,,,,,,650 780-5740,voice,"M-Th, noon-4pm",
26,,14,,,,,,650 368-4643,voice,"M-F,8am-5pm",
27,,14,,,,,,650 364-1712,fax,"M-Th, noon-4pm",
28,,15,,,,,,415 643-8000,voice,"M-F,8am-5pm",
29,,15,,,,,,415 285-1391,fax,"M-Th, noon-4pm",
30,,16,,,,,,408 720-0420,voice,"M-F,8am-5pm",
31,,16,,,,,,408 720-8075,fax,"M-Th, noon-4pm",
32,,17,,,,,,650 266-4591,voice,"M-F,8am-5pm",
33,,17,,,,,,650 266-2594,fax,"M-Th, noon-4pm",
34,,17,,,,,,650 266-4594,fax,"M-F,8am-5pm",
35,,18,,,,,,650 839-1447,voice,"M-Th, noon-4pm",
36,,18,,,,,,650 839-1457,fax,"M-F,8am-5pm",
37,,19,,,,,,650 578-0400,voice,"M-Th, noon-4pm",
38,,19,,,,,,650 578-0440,fax,"M-F,8am-5pm",
39,,21,,,,CalFresh,1223,7035551212,voice,703-555-ABCD,"M-Th, noon-4pm",
40,,21,,,,CalFresh,,2025551212,fax,"M-F,8am-5pm",
41,29,,,,+1,Referrals,1200,123-456-7890,voice,"M-Th, noon-4pm",
42,29,,,,+1,Referrals,,202-555-1212,fax,"M-F,8am-5pm",
43,,22,,,,Information,123,650 372-6200,voice,222-555-INFO,"M-Th, noon-4pm",
44,,22,,,,Reservations,,650 627-8244,fax,"M-F,8am-5pm",
45,,22,,,,Hotline,,800 372-6200,hotline,"M-Th, noon-4pm",
46,,22,,,,Rental Assistance,202,650 372-6200,tty,"M-F,8am-5pm",
52,36,,,,,CalFresh Applications,123,703-555-1212,voice,"M-Th, noon-4pm",
53,,,8,,,Operations,101,123-456-7890,voice,"M-F,8am-5pm",
54,32,,,,,Operations,,703-444-1234,fax,"M-Th, noon-4pm",
55,32,,,,,Operations,101,650-555-1212,voice,"M-F,8am-5pm",
56,,11,,,,,,650 365-3738,fax,"M-Th, noon-4pm",
57,,,,22,,Passport Photos,123,123-456-7890,voice,"M-F,8am-5pm",
58,,,,22,,Passport Photos Fax,,789-456-1230,fax,"M-Th, noon-4pm",
59,,,,22,,Passport Help via SMS,,650-222-5555,sms,"M-F,8am-5pm",
60,29,,,,,,,650-555-1212,sms,"M-Th, noon-4pm",
